,Location_ID_new,Count
0,1,1668
1,2,871
2,3,476
3,4,739
4,5,95772
5,6,1184
6,8,10819
7,10,5493
8,11,821
9,12,391
10,13,11544
11,15,313496
12,16,2791
13,17,4637
14,18,810
15,19,1947
16,20,13265
17,21,2490
18,22,5734
19,23,86609
20,24,937
21,26,21062
22,27,502
23,30,926
24,31,97
25,32,3552
26,33,544750
27,34,126882
28,35,14110
29,36,496
30,37,525
31,38,640
32,39,383
33,40,984
34,41,624
35,42,1085
36,44,245592
37,45,13203
38,46,476
39,47,5959
40,48,7829
41,49,2244
42,50,24221
43,52,1327
44,53,72629
45,55,459
46,56,510
47,57,2067
48,58,6145
49,59,4503
50,60,6217
51,61,55488
52,62,21927
53,63,4055
54,64,172
55,65,740
56,66,2475
57,67,177432
58,68,1317
59,69,2281
60,70,33578
61,71,32764
62,72,4792
63,74,697
64,75,38898
65,76,6120
66,77,1698
67,79,4951
68,81,286950
69,82,197711
70,83,1947
71,84,1467
72,85,1495
73,86,845
74,87,1316
75,88,54314
76,89,319
77,90,46
78,91,5538
79,92,1546
80,93,939
81,94,63612
82,95,43145
83,96,383
84,97,1284
85,98,559
86,99,2490
87,100,1908
88,101,5355
89,102,2673
90,103,1122
91,104,3
92,105,51
93,106,450
94,107,271
95,108,4702
96,109,2066
97,111,5286
98,112,12877
99,114,844
100,115,19171
101,116,703
102,117,196
103,118,1382
104,119,366
105,120,490
106,122,526
107,124,5596
108,126,4264
109,127,1505
110,129,390
111,130,40923
112,131,368
113,132,37
114,133,1742
115,134,6918
116,135,96
117,137,1015
118,138,1281
119,140,10
120,142,33
121,143,3816
122,144,89128
123,146,1267
124,147,4368
125,148,1935
126,149,282995
127,151,243
128,152,3792
129,153,1513
130,154,19447
131,155,67038
132,157,4110
133,158,179315
134,159,22825
135,161,886
136,163,59280
137,164,359568
138,165,92995
139,166,1082
140,167,1536
141,168,17680
142,170,2462
143,171,1542
144,172,1457
145,173,530
146,176,29588
147,177,42
148,180,14060
149,181,911
150,182,104173
151,183,1787
152,185,80
153,186,150
154,187,240
155,188,2707
156,189,5595
157,191,18328
158,192,27550
159,193,88635
160,194,167267
