Location_ID_new,Count
1,1176.0
2,634.0
3,216.0
4,349.0
5,1741819.0
6,2805.0
8,3911.0
9,191.0
10,54542.0
11,1933.0
12,260.0
13,217857.0
15,4221798.0
16,1587.0
17,24834.0
18,303.0
19,1588.0
20,158388.0
21,2159.0
22,2100.0
23,1884688.0
24,542.0
26,48208.0
27,273.0
30,544.0
31,41.0
32,13759.0
33,10830769.0
34,3593060.0
35,511159.0
36,1230.0
37,2180.0
38,133.0
39,180.0
40,1870.0
41,612.0
42,3837.0
44,5560360.0
45,139698.0
46,1701.0
47,8899.0
48,128187.0
49,29601.0
50,28815.0
52,9158.0
53,217846.0
55,291.0
56,315.0
57,891.0
58,8119.0
59,9843.0
60,12025.0
61,713839.0
62,62623.0
63,1844.0
64,231.0
65,1621.0
66,1080.0
67,2176061.0
68,576.0
69,19479.0
70,79262.0
71,58418.0
72,4789.0
74,292.0
75,74064.0
76,5788.0
77,1808.0
79,12206.0
81,2757291.0
82,2408890.0
83,6185.0
84,10035.0
85,6543.0
86,677.0
87,1274.0
88,173241.0
89,191.0
90,39.0
91,5418.0
92,3673.0
93,489.0
94,250087.0
95,242605.0
96,293.0
97,1003.0
98,332.0
99,1921.0
100,2374.0
101,14483.0
102,12232.0
103,1604.0
104,20.0
105,81.0
106,908.0
107,453.0
108,63340.0
109,14151.0
111,3195.0
112,17690.0
114,641.0
115,218165.0
116,577.0
117,208.0
118,442.0
119,249.0
120,724.0
122,1834.0
124,3856.0
126,4398.0
127,406.0
129,474.0
130,11470.0
131,446.0
132,86.0
133,657.0
134,50436.0
135,91.0
137,748.0
138,497.0
140,14.0
142,76.0
143,2246.0
144,2941805.0
146,1559.0
147,3565.0
148,1275.0
149,8238603.0
151,132.0
152,4741.0
153,1170.0
154,43792.0
155,238346.0
157,4033.0
158,4702596.0
159,36955.0
161,856.0
163,906478.0
164,6650567.0
165,1722372.0
166,1662.0
167,2533.0
168,24242.0
170,1770.0
171,908.0
172,1002.0
173,549.0
176,780018.0
177,107.0
180,86107.0
181,756.0
182,1483152.0
183,925.0
185,64.0
186,165.0
187,171.0
188,1424.0
189,43426.0
191,522747.0
192,825121.0
193,3057498.0
194,4440286.0
